curso,AFEV
unidad,Unidad 1
tema,Tema 01 — Métodos Formales: Introducción importancia y ejemplos

categoria,pregunta,respuesta,alternativa 1,alternativa 2,alternativa 3,alternativa 4
Ingeniería de Software,¿Qué objetivo describe mejor a la Ingeniería de Software?,Producir software confiable y de calidad durante su ciclo de vida,Producir software confiable y de calidad durante su ciclo de vida,Reducir el diseño a la implementación inicial,Eliminar la necesidad de mantenimiento posterior,Sustituir toda verificación por pruebas unitarias
Ingeniería de Software,¿Qué secuencia corresponde al flujo general presentado?,Análisis diseño implementación verificación mantenimiento,Implementación diseño análisis mantenimiento,Análisis diseño implementación verificación mantenimiento,Verificación análisis diseño mantenimiento implementación,Diseño análisis implementación verificación mantenimiento
Especificación,¿Qué describe principalmente la especificación de requisitos?,La funcionalidad general y la interfaz con el usuario,La distribución de componentes en subsistemas,La gestión de recursos del sistema,La funcionalidad general y la interfaz con el usuario,La planificación de los hilos del sistema
Especificación,¿Qué profundiza la especificación del sistema durante diseño?,La separación de componentes concurrencia y no determinismo,Solo los requisitos visibles por el usuario,Solo las pruebas de aceptación,Solo la elección del lenguaje de programación,La separación de componentes concurrencia y no determinismo
Métodos Formales,¿Qué fundamento caracteriza a los métodos formales?,Matemática o lógica para describir y verificar software,Matemática o lógica para describir y verificar software,Experiencia empírica sin modelos explícitos,Pruebas manuales de la interfaz final,Documentación informal de requisitos
Especificación formal,¿Qué pregunta responde principalmente una especificación formal?,Qué debe hacer el programa,Qué recursos físicos usará el programa,Qué debe hacer el programa,Qué editor debe usar el programador,Qué casos de prueba deben ejecutarse primero
Verificación formal,¿Qué establece la verificación formal?,Que el programa satisface la especificación mediante una demostración,Que el programa compila sin advertencias,Que la interfaz es aceptada por usuarios,Que las pruebas cubren todas las líneas,Que el programa satisface la especificación mediante una demostración
Desarrollo formal,¿Qué incorpora el desarrollo formal desde la construcción?,Rigor para asegurar que el programa satisface la especificación,Un lenguaje de programación único,Una demostración posterior aislada,Un registro de fallos de producción,Rigor para asegurar que el programa satisface la especificación
Técnicas,¿Cuál es una técnica incluida en los métodos formales?,Verificación de modelos,Verificación de modelos,Pruebas exploratorias sin modelo,Compresión de código fuente,Despliegue continuo de servicios
Técnicas,¿Qué técnica se orienta a demostrar formalmente propiedades?,Prueba de teoremas,Planificación por prioridades,Prueba de teoremas,Control de versiones,Pruebas de humo
Métodos y testing,¿Cómo se relacionan los métodos formales con el testing?,Los métodos formales complementan las pruebas,Los métodos formales reemplazan todas las pruebas,Los métodos formales solo sirven para pruebas,Los métodos formales complementan las pruebas,Los métodos formales impiden validar en producción
Métodos y testing,¿Qué riesgo persiste incluso con un diseño formalmente verificado?,Que exista una falsa sensación de seguridad,Que la especificación sea siempre ejecutable,Que el software no pueda mantenerse,Que el programa no tenga ningún requisito,Que exista una falsa sensación de seguridad
Lenguajes formales,¿Qué define la sintaxis formal de un lenguaje?,Cómo se construyen correctamente las expresiones,Cómo se construyen correctamente las expresiones,Qué recursos consume cada proceso,Qué dispositivo ejecuta una instrucción,Qué prueba se aplica a cada módulo
Lenguajes formales,¿Qué define la semántica formal?,El significado de las expresiones,El tamaño de los programas,El significado de las expresiones,El orden de las fases del proyecto,La cantidad de usuarios del sistema
Lenguajes formales,¿Para qué sirve el aparato deductivo?,Para demostrar teoremas manipulando elementos formales,Para compilar expresiones formales,Para almacenar modelos de prueba,Para demostrar teoremas manipulando elementos formales,Para medir el rendimiento del programa
Especificación funcional,¿Qué representa S en la relación entre especificación y programa?,La especificación funcional,El sistema operativo objetivo,La sintaxis del lenguaje,El estado de ejecución,La especificación funcional
Especificación funcional,¿Cuál es una propiedad de S?,Es abstracta e independiente del lenguaje de programación,Es abstracta e independiente del lenguaje de programación,Se ejecuta directamente como el programa final,Contiene los detalles de implementación obligatorios,Depende del compilador elegido
Especificación funcional,¿Qué expresa la relación P ⇒ S?,Que P satisface la especificación S,Que S implementa a P,Que P satisface la especificación S,Que P reemplaza los requisitos,Que S se ejecuta antes que P
Calidad,¿Cómo debe analizarse la calidad del software?,Durante todo el ciclo de vida,Solo según el costo inicial,Únicamente al terminar la implementación,Después de abandonar el mantenimiento,Durante todo el ciclo de vida
Problemática,¿Qué decisión forma parte de aplicar métodos formales?,Determinar el lenguaje técnica y análisis adecuados,Elegir un navegador para documentar,Elegir la marca del hardware,Determinar el lenguaje técnica y análisis adecuados,Eliminar toda abstracción del sistema
Sistemas críticos,¿Por qué los métodos formales son especialmente relevantes en sistemas críticos?,Porque permiten establecer corrección cuando las pruebas exhaustivas no son viables,Porque reducen el número de usuarios,Porque sustituyen el hardware,Porque permiten establecer corrección cuando las pruebas exhaustivas no son viables,Porque evitan definir requisitos
Dominio de aplicación,¿Qué métodos se asocian a la especificación de requisitos?,Lógicas temporales Z y VDM,Términos de procesos y Redes de Petri,Lógicas temporales Z y VDM,Modelos de hilos y pipes,FCFS SJF y Round Robin
Dominio de aplicación,¿Qué métodos se asocian a la especificación del sistema?,Términos de procesos y Redes de Petri,Z VDM y lógicas temporales,Prueba de teoremas y testing exploratorio,Términos de procesos y Redes de Petri,Solo pruebas de integración
