curso,Inteligencia Artificial
unidad,Unidad 2
tema,Introduccion al KDD

categoria,pregunta,respuesta
"Aprendizaje","Que es el aprendizaje?","Es cualquier cambio en un sistema que le permite resolver mejor una tarea la segunda vez u otra tarea similar."
"Aprendizaje","Que significa que el aprendizaje mejore soluciones?","Que el conocimiento aprendido permite dar mejores soluciones a los problemas."
"Aprendizaje","Que relacion existe entre aprendizaje y eficiencia?","Que el conocimiento aprendido permite resolver problemas mas eficientemente y con menor costo."
"Machine Learning","Que es Machine Learning?","Es el subcampo de la inteligencia artificial que estudia metodos para resolver problemas de aprendizaje por computadoras."
"Mineria de datos","Que es la mineria de datos?","Es el proceso de extraer conocimiento util, comprensible y previamente desconocido desde grandes cantidades de datos."
"Mineria de datos","Que caracteristicas debe tener el conocimiento extraido por mineria de datos?","Debe ser util, comprensible y previamente desconocido."
"Mineria de datos","Cuales son los principales retos de la mineria de datos?","Trabajar con grandes volumenes de datos y usar tecnicas adecuadas para extraer conocimiento novedoso y util."
"KDD","Cual es el objetivo de Knowledge Discovery from Database?","Descubrir conocimiento en las bases de datos."
"KDD","Como se caracteriza el proceso KDD?","Como una secuencia iterativa e interactiva de etapas o fases."
"KDD","Por que KDD no se reduce solo a aplicar un algoritmo?","Porque incluye fases de integracion, seleccion, limpieza, transformacion, mineria, evaluacion, interpretacion, difusion y uso."
"Fases de KDD","Cuales son las fases principales de KDD?","Integracion y recopilacion; seleccion, limpieza y transformacion; mineria de datos; evaluacion e interpretacion; difusion y uso."
"Integracion y recopilacion","Que se analiza al inicio de la fase de integracion y recopilacion?","El dominio del problema y si realmente es un problema adecuado para KDD."
"Integracion y recopilacion","Por que es importante conocer el dominio del problema antes de continuar?","Porque disminuye el espacio de soluciones posibles y mejora la eficiencia del resto del proceso."
"Integracion y recopilacion","Que papel cumple el Data Warehouse en la fase inicial?","Unifica informacion para que la fuente de datos sea accesible, interna y dedicada."
"Integracion y recopilacion","Que fuentes de informacion puede integrar el Data Warehouse?","Informacion interna, estudios publicados y otras bases de datos."
"Seleccion y limpieza","Que se busca en la fase de seleccion, limpieza y transformacion?","Seleccionar el conjunto de datos adecuado y mejorar su calidad antes de la mineria de datos."
"Seleccion y limpieza","Que tareas incluye la limpieza de datos?","Rellenar valores perdidos, identificar o eliminar outliers, suavizar ruido y eliminar inconsistencias."
"Seleccion y limpieza","Que opciones existen para tratar datos perdidos?","Rellenarlos manualmente, ignorarlos, eliminar fila o columna, usar un valor especial o inferirlos con tecnicas estadisticas."
"Seleccion y limpieza","Que es el ruido en los datos?","Es un error aleatorio o con una varianza en los datos."
"Transformacion","Que implica la transformacion de atributos?","Redefinir atributos mediante agrupamiento, separacion o conversion de variables."
"Transformacion","Que ejemplos ilustran la transformacion de atributos?","Convertir fecha de nacimiento en edad y separar apellidos en etiquetas."
"Transformacion","Que es la discretizacion?","Es pasar atributos continuos o con muchos valores a casos discretos manejables."
"Transformacion","Por que la discretizacion puede ser imprescindible?","Porque muchos algoritmos de mineria de datos la necesitan."
"Refinacion de datos","Que es la proyeccion en la refinacion de datos?","Es seleccionar el conjunto de atributos adecuado para la tarea especifica."
"Mineria de datos","Que decisiones se toman en la fase de mineria de datos?","Se decide el tipo de conocimiento buscado, la tecnica adecuada y si se debe considerar incertidumbre."
"Mineria de datos","Que tipos de conocimiento se distinguen en mineria de datos?","Conocimiento predictivo y conocimiento descriptivo."
"Mineria de datos","Que tecnicas o tareas se usan en mineria de datos?","Clasificacion, regresion, clustering, asociaciones, reglas secuenciales y correlaciones."
"Tecnicas","Que tecnicas generales se aplican en mineria de datos?","Inferencia estadistica, arboles de decision, redes neuronales, induccion de reglas, aprendizaje basado en instancias, algoritmos geneticos, aprendizaje bayesiano, programacion logica inductiva y metodos basados en nucleos."
"Evaluacion","Por que es necesaria la fase de evaluacion e interpretacion?","Porque la mineria de datos puede producir varias hipotesis de modelos y se debe establecer cuales son mas validas."
"Evaluacion","Que tecnicas de evaluacion se pueden usar?","Validacion simple, validacion cruzada, validacion cruzada con pliegues y bootstrapping."
"Difusion y uso","Que acciones incluye la fase de difusion y uso?","Elaborar informes, usar el nuevo conocimiento e incorporarlo a sistemas existentes."
"Difusion y uso","Que cuidado se debe tener al incorporar nuevo conocimiento a sistemas existentes?","Verificarlo con el conocimiento ya usado para evitar inconsistencias y conflictos."
"Difusion y uso","Como se realimenta el ciclo de KDD?","La monitorizacion del sistema en accion genera nuevos casos que realimentan el ciclo."
"Preprocesamiento","Que busca mejorar el preprocesamiento de datos?","La calidad de los datos para que la mineria de datos obtenga mayor y mejor informacion."
"Preprocesamiento","Que tipos de preprocesamiento de datos existen?","Data cleaning, data integration, data transformation y data reduction."
"Data cleaning","Que problemas resuelve data cleaning?","Conflictos entre datos, outliers, ruido y valores perdidos."
"Data integration","Que hace data integration?","Obtiene datos de diferentes fuentes, resuelve problemas de representacion y codificacion e integra tablas."
"Data reduction","Que hace data reduction?","Selecciona datos relevantes para la tarea de mineria de datos o extraccion de informacion."
"Reduccion de datos","Que fuentes de complejidad aparecen en una sola tabla?","Demasiadas variables, demasiados casos y demasiados valores por atributo."
"Reduccion de datos","Que fuentes de complejidad aparecen al usar multiples tablas?","Demasiadas tablas y demasiadas relaciones con conocimiento encerrado en ellas."
