curso,Sistemas Operativos
unidad,Unidad 1
tema,Planificación y Comunicación de Procesos

categoria,pregunta,respuesta,alternativa 1,alternativa 2,alternativa 3,alternativa 4
Fundamentos,¿Qué asigna la planificación de procesos?,Tiempo de CPU a los procesos,Tiempo de CPU a los procesos,Canales de datos entre procesos,Regiones de memoria compartida,Formatos de mensajes
Fundamentos,¿Qué coordina principalmente el IPC?,El intercambio de información entre procesos,El uso del temporizador,El intercambio de información entre procesos,El orden físico de las páginas,La creación de núcleos virtuales
Carga,¿Qué carga se caracteriza por largas ráfagas de CPU?,CPU-bound,Interactiva,E/S-bound,CPU-bound,Tiempo real duro
Carga,¿Qué requisito domina típicamente en una carga interactiva?,Respuesta rápida al usuario,Uso constante de la caché,Estimación exacta de ráfagas,Alto throughput de lotes,Respuesta rápida al usuario
Preempción,¿Qué condición caracteriza a un algoritmo no expropiativo?,El proceso cede al terminar o bloquearse,El proceso cede al terminar o bloquearse,El kernel lo interrumpe en cada llegada,La prioridad siempre cambia,El proceso migra de núcleo
Preempción,¿Qué costo introduce normalmente la planificación expropiativa?,Más cambios de contexto y sincronización,Menos decisiones del planificador,Más cambios de contexto y sincronización,Menos espera de E/S,Menor necesidad de temporizador
Métricas,¿Cómo se calcula el tiempo de retorno?,Finalización menos llegada,Primera ejecución menos llegada,Tiempo acumulado en la cola,Finalización menos llegada,Procesos terminados por unidad de tiempo
Métricas,¿Qué mide el tiempo de respuesta?,La demora hasta recibir CPU por primera vez,El tiempo total hasta terminar,El tiempo bloqueado por E/S,El uso productivo de CPU,La demora hasta recibir CPU por primera vez
Métricas,¿Qué métrica contabiliza procesos terminados por unidad de tiempo?,Throughput,Throughput,Tiempo de espera,Tiempo de retorno,Utilización
FCFS,¿Qué criterio usa FCFS para seleccionar el siguiente proceso?,Orden de llegada,Menor ráfaga estimada,Orden de llegada,Mayor prioridad dinámica,Plazo absoluto más próximo
FCFS,¿Qué problema puede generar FCFS ante una ráfaga larga?,Retrasa a procesos cortos que llegaron después,Reduce el tiempo de respuesta de todos,Evita la espera de procesos cortos,Retrasa a procesos cortos que llegaron después,Aumenta automáticamente las prioridades
SJF y SRTF,¿Qué selecciona SJF?,El proceso con menor ráfaga de CPU,El proceso con menor prioridad,El proceso con mayor tiempo restante,El proceso con menor ráfaga de CPU,El proceso con la llegada más reciente
SJF y SRTF,¿Qué diferencia a SRTF de SJF?,SRTF puede interrumpir por menor tiempo restante,SRTF usa un quantum fijo,SRTF solo sirve para E/S,SRTF no necesita estimar ráfagas,SRTF puede interrumpir por menor tiempo restante
Estimación,¿Qué efecto tiene un valor alto de alfa en la estimación de ráfagas?,Da más peso al comportamiento reciente,Da más peso al comportamiento reciente,Elimina toda estimación previa,Evita la inanición de trabajos largos,Convierte SJF en FCFS
Prioridad,¿Qué busca evitar el aging?,La espera indefinida de procesos,La pérdida de localidad de caché,La espera indefinida de procesos,El bloqueo de operaciones de E/S,La migración entre núcleos
Prioridad,¿Qué ocurre en una inversión de prioridad?,Una tarea alta espera un recurso de una baja,Una tarea baja espera a una alta,Una tarea media recibe prioridad fija,Una tarea alta espera un recurso de una baja,Una tarea alta termina antes del plazo
Round Robin,¿Qué recibe cada proceso en Round Robin?,Un quantum de CPU,Un quantum de CPU,Una ráfaga estimada exacta,Un núcleo con afinidad fuerte,Un buzón privado
