curso,Sistemas Operativos
unidad,Unidad 1
tema,Procesos pesados y livianos

categoria,pregunta,respuesta,alternativa 1,alternativa 2,alternativa 3,alternativa 4
Programa y proceso,¿Qué describe mejor a un programa antes de ejecutarse?,Un archivo pasivo con instrucciones y datos iniciales,Un archivo pasivo con instrucciones y datos iniciales,Una instancia con PID y registros activos,Un contexto residente en la cola de listos,Una región de memoria compartida
Programa y proceso,¿Qué permite que dos ejecuciones del mismo programa sean procesos distintos?,Tienen PID contexto y recursos propios,Comparten el mismo contador de programa,Tienen PID contexto y recursos propios,Usan la misma ubicación física de memoria,Dependen de la misma cola de espera
Espacio de direcciones,¿Qué región contiene normalmente las variables globales no inicializadas?,BSS,Texto ejecutable,Datos inicializados,BSS,Pila de llamadas
Espacio de direcciones,¿Qué afirmación sobre direcciones virtuales de procesos es correcta?,La misma dirección virtual puede referir ubicaciones físicas diferentes,Siempre se traducen a la misma memoria física,No pueden coexistir en la misma dirección virtual,Se comparten automáticamente al crear un hijo,La misma dirección virtual puede referir ubicaciones físicas diferentes
Espacio de direcciones,¿Qué región se usa principalmente para asignación dinámica?,Heap,Heap,Texto,Datos,Pila
PCB,¿Qué estructura conserva la identidad y el contexto de un proceso detenido?,El PCB,La tabla de páginas,El PCB,La cola de listos,El despachador
Estados,¿En qué estado está un proceso preparado pero pendiente de CPU?,Listo,Nuevo,Bloqueado,Listo,Terminado
Estados,¿Qué transición ocurre cuando un proceso en ejecución solicita E/S?,Ejecución a bloqueado,Ejecución a listo,Ejecución a terminado,Bloqueado a listo,Ejecución a bloqueado
Estados,¿Qué diferencia esencial hay entre listo y bloqueado?,Listo espera CPU y bloqueado espera un evento o recurso,Listo espera CPU y bloqueado espera un evento o recurso,Listo usa CPU y bloqueado espera memoria,Listo espera admisión y bloqueado termina,Listo crea procesos y bloqueado los despacha
Colas y planificación,¿Qué función realiza el planificador?,Decide qué proceso ejecutará,Guarda registros de la CPU,Decide qué proceso ejecutará,Atiende el dispositivo de E/S,Libera el PCB terminado
Colas y planificación,¿Qué hace el despachador después de la decisión de planificación?,Realiza el cambio hacia el proceso elegido,Agrupa procesos por recurso,Elige la política de prioridades,Realiza el cambio hacia el proceso elegido,Determina qué proceso será admitido
Colas y planificación,¿Qué conclusión es válida sobre una cola de listos?,Su orden depende de la política de planificación,Siempre se ordena FIFO,Siempre contiene procesos bloqueados,Impide usar prioridades,Su orden depende de la política de planificación
Cambio de contexto,¿Qué operación preserva la continuidad al cambiar de proceso?,Guardar el contexto actual y restaurar el del proceso elegido,Guardar el contexto actual y restaurar el del proceso elegido,Duplicar la memoria física de ambos procesos,Convertir la pila en una región compartida,Eliminar el PCB del proceso saliente
Cambio de contexto,¿Cuál es un costo típico de un cambio de contexto?,Puede degradar caché y TLB,Aumenta directamente el trabajo de usuario,Puede degradar caché y TLB,Evita toda intervención del planificador,Elimina la necesidad de registros
Creación,¿Qué paso forma parte de crear un proceso?,Crear el PCB y preparar memoria,Cerrar recursos heredados,Eliminar credenciales del padre,Crear el PCB y preparar memoria,Marcarlo terminado antes de admitirlo
Creación,Tras la creación de un hijo ¿qué se mantiene necesariamente distinto del padre?,El PID y el flujo de ejecución,El programa cargado,Los recursos que puede usar,El origen del estado inicial,El PID y el flujo de ejecución
Terminación,¿Qué define a un proceso zombi?,Terminó pero su padre aún no recogió el estado,Terminó pero su padre aún no recogió el estado,Sigue ejecutándose sin memoria virtual,Es bloqueado por una operación de E/S,Perdió su contador de programa
Terminación,¿Qué condición define a un proceso huérfano?,El padre termina antes que el hijo,El proceso termina por una señal,El padre termina antes que el hijo,El hijo permanece en la cola de listos,El proceso no tiene archivos abiertos
Terminación,¿Qué riesgo puede dejar una terminación forzada?,La aplicación puede dejar datos incompletos,El kernel no puede recuperar recursos,El proceso conserva el PID del padre,La aplicación puede dejar datos incompletos,La CPU no puede planificar otros procesos
Árbol de procesos,¿Qué representa principalmente el árbol de procesos?,Relaciones de creación y agrupación,Relaciones de creación y agrupación,Regiones físicas del espacio de direcciones,Orden fijo de las colas de espera,Prioridades de cada interrupción
Procesos pesados,¿Qué característica aporta principalmente un proceso pesado?,Espacio de direcciones y recursos aislados,Comunicación automática por memoria,Espacio de direcciones y recursos aislados,Un único PCB para varios servicios,Planificación sin cambios de contexto
Procesos pesados,¿Cuándo es más apropiado preferir procesos separados?,Cuando se requieren credenciales y reinicios aislados,Cuando toda la información debe compartirse,Cuando los componentes deben usar una pila común,Cuando se busca evitar mecanismos de comunicación,Cuando se requieren credenciales y reinicios aislados
Hilos,¿Qué recurso comparten los hilos del mismo proceso?,El heap y los datos del proceso,El contador de programa,La pila de cada hilo,El heap y los datos del proceso,El estado de planificación individual
