curso,Educacion Financiera
unidad,Unidad 1
tema,Sociedades

categoria,pregunta,respuesta
Acto Constitutivo,¿Qué es el acto constitutivo?,Es el acto mediante el cual se crea una sociedad por escritura pública.
Acto Constitutivo,¿Qué formalidad usa el acto constitutivo?,Se realiza mediante escritura pública.
Acto Constitutivo,¿Dónde debe inscribirse el acto constitutivo?,Debe inscribirse en Registros Públicos.
Acto Constitutivo,¿Para qué sirve inscribir la sociedad en Registros Públicos?,Sirve para que la sociedad tenga existencia legal frente a terceros.
Pacto Social,¿Qué es el pacto social?,Es el documento donde los socios acuerdan crear la sociedad.
Pacto Social,¿Qué contiene la identificación de socios?,Contiene los datos de quienes conforman la sociedad.
Pacto Social,¿Qué es la voluntad de asociación?,Es la manifestación de los socios de querer constituir una sociedad.
Estatuto,¿Qué es el estatuto?,Es el conjunto de reglas internas de funcionamiento de la sociedad.
Estatuto,¿Qué es la denominación o razón social?,Es el nombre legal de la sociedad.
Estatuto,¿Qué es la razón social?,Es el nombre de la sociedad formado con el nombre de uno o más socios.
Estatuto,¿Qué es el objeto social?,Es la actividad económica lícita que realizará la sociedad.
Estatuto,¿Qué es la duración de la sociedad?,Es el tiempo durante el cual existirá la sociedad.
Estatuto,¿Qué es el domicilio de la sociedad?,Es el lugar donde desarrolla sus actividades principales o donde tiene su administración.
Estatuto,¿Qué son los órganos de la sociedad?,Son las estructuras encargadas de tomar decisiones y administrar la sociedad.
Estatuto,¿Qué regula la administración y representación?,Regula quién dirige la sociedad y quién puede actuar legalmente en su nombre.
Estatuto,¿Qué es la distribución de utilidades?,Es la forma en que se reparten las ganancias entre los socios.
Estatuto,¿Qué es el arbitraje?,Es un mecanismo para resolver conflictos societarios sin acudir directamente al Poder Judicial.
Estatuto,¿Qué regulan la disolución y liquidación dentro del estatuto?,Regulan cómo se termina la sociedad y cómo se reparten sus bienes restantes.
Órganos Societarios,¿Qué es la junta general de accionistas?,Es el órgano supremo de la sociedad que toma decisiones por voto mayoritario.
Órganos Societarios,¿Qué órgano elige al directorio?,El directorio es elegido por la junta general de accionistas.
Órganos Societarios,¿Cuánto dura el directorio?,Dura como mínimo 1 año y como máximo 3 años.
Órganos Societarios,¿Los miembros del directorio pueden reelegirse?,"Sí, pueden reelegirse."
