curso,Sistemas Operativos
unidad,Unidad 1
tema,Estructura de los Sistemas Operativos

categoria,pregunta,respuesta,alternativa 1,alternativa 2,alternativa 3,alternativa 4
Arquitectura,¿Qué cuestión permite ubicar la frontera de privilegio de una arquitectura de SO?,Qué componentes ejecutan en modo privilegiado,Qué componentes ejecutan en modo privilegiado,Qué interfaces usan nombres de archivo,Qué procesos consumen más CPU,Qué dispositivos comparten un búfer
Arquitectura,Al evaluar seguridad en una arquitectura ¿qué medida es más directa?,El tamaño de la base confiable,El número de controladores cargados,El tamaño de la base confiable,La cantidad de usuarios concurrentes,El tamaño de la caché de archivos
Arquitectura,¿Cuál afirmación resume el conflicto entre los criterios de calidad?,Ninguna estructura maximiza todos los criterios,La portabilidad siempre reduce el rendimiento,La confiabilidad depende solo del hardware,Ninguna estructura maximiza todos los criterios,La evolución exige un núcleo monolítico
Modo de ejecución,¿Qué restricción define mejor al modo usuario?,No ejecuta instrucciones sensibles ni accede al hardware directamente,Puede cambiar tablas de páginas directamente,Puede atender interrupciones de dispositivos,Puede reprogramar el temporizador,No ejecuta instrucciones sensibles ni accede al hardware directamente
Modo de ejecución,¿Qué conjunto de funciones requiere modo núcleo?,Memoria interrupciones dispositivos y planificación,Memoria interrupciones dispositivos y planificación,Interfaz gráfica sesiones y archivos temporales,Compilación enlaces y bibliotecas,Credenciales de aplicación y ventanas
Modo de ejecución,¿Cuál evento es una vía controlada desde usuario hacia el núcleo?,Una llamada al sistema,El retorno de una interrupción,Una llamada al sistema,La restauración de privilegios,La ejecución de una API local
Modo de ejecución,Tras completar una solicitud válida ¿qué hace el núcleo antes de volver a usuario?,Restaura contexto y privilegios,Reinicia el firmware del equipo,Cambia el sistema de archivos raíz,Restaura contexto y privilegios,Convierte el proceso en controlador
Llamadas al sistema,¿Qué distingue con precisión una llamada al sistema de una API?,Una llamada al sistema cruza al núcleo para solicitar un servicio,Una API siempre crea procesos,Una API solo opera con archivos,Una llamada al sistema evita validar argumentos,Una llamada al sistema cruza al núcleo para solicitar un servicio
Eventos,¿Cuál debe ser una acción inicial de un manejador de interrupciones?,Guardar el contexto mínimo,Guardar el contexto mínimo,Montar el sistema de archivos raíz,Crear una sesión de usuario,Reemplazar una biblioteca de aplicación
Eventos,¿Qué evento es asíncrono respecto de la instrucción que ejecuta un proceso?,Finalización de una operación de E/S,Una división inválida,Finalización de una operación de E/S,Una llamada al sistema explícita,Un fallo de página por acceso actual
