curso,Redes
unidad,Unidad 1
tema,Redes y Comunicación

categoria,pregunta,respuesta,alternativa 1,alternativa 2,alternativa 3,alternativa 4
La red,¿Cuál definición describe mejor una red?,Dispositivos conectados para intercambiar información,Dispositivos conectados para intercambiar información,Dispositivos aislados que procesan información,Un medio reservado para una comunicación,Reglas que organizan los mensajes
La red,¿Qué propósito reúne las funciones de una red?,Compartir información recursos y servicios,Compartir solo mensajes entre equipos,Compartir información recursos y servicios,Reservar enlaces para un único usuario,Convertir señales digitales en analógicas
ARPANET,¿Qué papel tuvo ARPANET en la evolución de las redes?,Fue un antecedente de Internet,Fue una red privada de una organización,Fue un medio para conexiones WAN,Fue un antecedente de Internet,Fue un protocolo de seguridad
ARPANET,¿Qué institución albergó uno de los primeros nodos de ARPANET?,UCLA,Una red metropolitana,Una empresa proveedora,Una universidad de Los Ángeles,UCLA
Conmutación,¿Qué ocurre en la conmutación de paquetes?,La información se divide en paquetes,La información se divide en paquetes,La comunicación reserva un camino,El medio lleva una sola señal,Los mensajes se envían sin reglas
Conmutación,¿Qué condición distingue a la conmutación de circuitos?,Se reserva un camino entre emisor y receptor,Los paquetes comparten el medio,Se reserva un camino entre emisor y receptor,Los mensajes se intercalan por turnos,Las señales usan canales separados
Conmutación,¿Cómo usan los recursos las comunicaciones por paquetes?,Los recursos se comparten entre comunicaciones,Los recursos quedan reservados por sesión,Cada mensaje usa un camino exclusivo,Los recursos se comparten entre comunicaciones,El medio transporta una sola señal
Conmutación,¿Qué afirmación contrasta correctamente ambos tipos de conmutación?,Los circuitos reservan recursos y los paquetes los comparten,Los paquetes reservan recursos y los circuitos comparten medios,Los circuitos intercalan mensajes y los paquetes no,Circuitos y paquetes requieren un camino exclusivo,Los circuitos reservan recursos y los paquetes los comparten
Elementos,¿Qué elemento representa el contenido que viaja por la red?,El mensaje,El mensaje,El medio,El dispositivo,Las reglas
Elementos,¿Qué elemento describe el canal de conexión entre dispositivos?,El medio,El mensaje,El medio,Las reglas,El enlace lógico
Elementos,¿Qué elemento establece cómo deben circular los mensajes?,Las reglas,El dispositivo,El medio,Las reglas,El mensaje
Dispositivos,¿Cuál combinación asocia correctamente cada función?,Switch conecta una LAN y router comunica redes,Switch dirige redes y router protege la red,Firewall conecta equipos y switch dirige redes,Router representa una red y nube protege paquetes,Switch conecta una LAN y router comunica redes
Dispositivos,¿Qué función se atribuye a un firewall?,Proporcionar seguridad a la red,Proporcionar seguridad a la red,Interconectar equipos de una LAN,Representar una conexión WAN,Dividir mensajes en segmentos
