curso,AFEV
unidad,Unidad 1
tema,Tema 03 — Verificación y Validación

categoria,pregunta,respuesta,alternativa 1,alternativa 2,alternativa 3,alternativa 4
Conceptos,¿Qué pregunta responde la validación?,¿Construimos el sistema correcto?,¿Construimos el sistema correcto?,¿Construimos el sistema sin errores?,¿Ejecutamos todas las pruebas?,¿Cumplimos cada propiedad interna?
Conceptos,¿Qué pregunta responde la verificación?,¿Construimos el sistema correctamente?,¿Recogimos necesidades completas?,¿Construimos el sistema correctamente?,¿Satisface el usuario cada pantalla?,¿Terminamos toda la documentación?
Validación,¿Cuál es el referente principal de la validación?,Las necesidades y requerimientos del usuario,Las propiedades internas del código,Las técnicas de análisis estático,Las necesidades y requerimientos del usuario,Los caminos de ejecución del programa
Verificación,¿Cuál es el referente principal de la verificación?,Las especificaciones y propiedades esperadas,Las preferencias de cada usuario,Las funciones de la interfaz final,Los casos de uso no documentados,Las especificaciones y propiedades esperadas
Validación,¿Qué problema existe si el sistema está bien construido pero resuelve otra necesidad?,Un problema de validación,Un problema de validación,Un problema de integración,Un problema de inspección,Un problema de granularidad
Verificación,¿Qué problema existe si los requisitos son correctos pero la implementación no cumple?,Un problema de verificación,Un problema de requisitos,Un problema de verificación,Un problema de validación,Un problema de alcance
Relación,¿Qué combinación representa la situación deseada?,Requerimientos correctos e implementación correcta,Requerimientos incompletos e implementación correcta,Requerimientos correctos e implementación correcta,Requerimientos correctos e interfaz rápida,Requerimientos ambiguos e implementación estable
Granularidad,¿En qué nivel se sitúa especialmente la validación según el material?,En el nivel de sistema completo,En pruebas unitarias aisladas,En pruebas de integración,En análisis de componentes internos,En el nivel de sistema completo
Granularidad,¿Qué analiza una prueba unitaria?,Un componente individual aislado,Un componente individual aislado,La interacción de varios componentes,El producto frente al usuario,Las necesidades completas del cliente
Granularidad,¿Qué comprueba principalmente el nivel de integración?,La interacción entre componentes,El producto completo para el usuario,La interacción entre componentes,La sintaxis de cada requisito,La prioridad de cada proceso
Granularidad,¿Cuál es el orden de granularidad presentado?,Unidad integración sistema,Sistema integración unidad,Unidad integración sistema,Sistema unidad integración,Integración sistema unidad
Enfoques,¿Cuántas formas de verificación presenta el tema?,Cuatro formas de verificación,Dos formas principales,Tres formas principales,Cinco formas principales,Cuatro formas de verificación
Testing,¿Qué caracteriza a una prueba de caja negra?,Observa entradas y salidas sin centrarse en la estructura interna,Observa entradas y salidas sin centrarse en la estructura interna,Analiza caminos y condiciones internas del código implementado,Examina únicamente la documentación funcional del sistema completo,Demuestra propiedades mediante técnicas formales aplicadas al sistema
Testing,¿Qué considera una prueba de caja blanca?,La estructura interna del software,Solo entradas y salidas visibles,La estructura interna del software,Los requerimientos del usuario,Los acuerdos de aceptación final
Verificación estática,¿Qué distingue a la verificación estática?,Analiza el software sin depender de ejecutar casos,Ejecuta casos de prueba representativos del sistema,Reemplaza toda revisión humana del software analizado,Analiza el software sin depender de ejecutar casos,Evalúa únicamente la interfaz final del producto completo
Inspección,¿Qué actividad define mejor una inspección?,Revisar artefactos para encontrar problemas,Medir el rendimiento en producción,Ejecutar pruebas de caja negra,Generar automáticamente especificaciones,Revisar artefactos para encontrar problemas
Pruebas formales,¿Qué aportan las pruebas formales exactas?,Mayor rigor para establecer propiedades del sistema,Mayor rigor para establecer propiedades del sistema,Mayor cobertura de pruebas manuales del sistema,Menor necesidad de especificaciones detalladas,Menor análisis de propiedades internas del sistema
Comparación,¿Qué afirmación distingue correctamente validación y verificación?,Validación busca el producto correcto y verificación la construcción correcta,Verificación busca el producto correcto y validación la construcción correcta,Validación busca el producto correcto y verificación la construcción correcta,Ambas se enfocan exclusivamente en comprobar propiedades internas del código implementado,Ambas se realizan solo al final
Comparación,¿Qué no garantiza verificar correctamente un sistema?,Que sea el producto que realmente necesitaba el usuario,Que cumpla todas las propiedades ya especificadas,Que tenga todos sus componentes correctamente integrados,Que sea el producto que realmente necesitaba el usuario,Que pueda analizarse mediante pruebas de distintos niveles
Enfoques,¿Qué enfoque examina código documentación y especificaciones directamente?,Inspección directa de artefactos,Testing de caja negra,Verificación estática,Pruebas formales exactas que revisan cada artefacto sin ejecución,Inspección directa de artefactos
