curso,AFEV
unidad,Unidad 1
tema,Tema 04 — ¿Qué son los Métodos Formales?

categoria,pregunta,respuesta,alternativa 1,alternativa 2,alternativa 3,alternativa 4
Idea general,¿Cuál es la secuencia central de un método formal?,Modelo formal propiedades verificación,Modelo formal propiedades verificación,Implementación testing despliegue,Requisitos interfaz mantenimiento,Código compilación entrega
Smart Cards,¿Por qué las Smart Cards justifican técnicas rigurosas?,Porque manejan seguridad y operaciones críticas,Porque eliminan el uso de software,Porque manejan seguridad y operaciones críticas,Porque sustituyen toda autenticación,Porque solo almacenan datos públicos
JavaCard,¿Qué son los applets en una Smart Card?,Los programas de aplicación ejecutados por la tarjeta,Los lectores físicos que reciben operaciones de la tarjeta,Los protocolos externos usados por lectores de tarjetas inteligentes,Los programas de aplicación ejecutados por la tarjeta,Los modelos matemáticos para validar transacciones del sistema
JavaCard,¿Qué característica describe mejor a JavaCard?,Un entorno seguro para dispositivos con recursos limitados,Un entorno para servidores de alto rendimiento,Un lenguaje para diseñar lectores físicos,Una técnica de pruebas exclusivamente manuales,Un entorno seguro para dispositivos con recursos limitados
Transporte,¿Qué debe gestionar correctamente una Smart Card de transporte?,Estados operaciones tarifas y saldo del usuario,Estados operaciones tarifas y saldo del usuario,Únicamente el color del lector,La ubicación física del autobús,Solo la autenticación del conductor
Modelos,¿Para qué se construye un modelo formal?,Para analizar aspectos relevantes del sistema,Para copiar cada detalle de la realidad,Para analizar aspectos relevantes del sistema,Para reemplazar los requerimientos del usuario,Para ejecutar directamente el hardware
Abstracción,¿Qué permite la abstracción?,Representar lo importante y omitir detalles innecesarios,Modelar todos los detalles internos del sistema,Evitar definir propiedades de seguridad,Representar lo importante y omitir detalles innecesarios,Eliminar la implementación real
Propiedades,¿Qué expresa una propiedad del sistema?,Una condición que se quiere garantizar,El nombre del lenguaje implementado,El tamaño máximo de la memoria,El presupuesto del proyecto,Una condición que se quiere garantizar
Puente,¿Qué propiedad de seguridad ilustra el ejemplo del puente?,Los vehículos no circulan cuando el puente está abierto,Los vehículos no circulan cuando el puente está abierto,El puente abre con cualquier semáforo incluso durante circulación,Las barreras siempre permanecen abiertas durante el tránsito,Los autos deciden el estado operativo del puente
Puente,¿Qué permite comprobar el modelo abstracto de un puente?,Las propiedades definidas sobre elementos relevantes,El material exacto de cada tornillo,Las propiedades definidas sobre elementos relevantes,La fecha de construcción del puente,El costo comercial de la obra
Software crítico,¿Qué pregunta se analiza en el controlador del puente?,Si los autos pueden circular con el puente abierto,Qué editor usa BridgeController para implementar las operaciones,Cuántos autos circulan diariamente sobre el puente controlado,Si los autos pueden circular con el puente abierto,Qué versión de Java ejecuta el sistema crítico
Método formal,¿Qué se hace después de construir el modelo formal?,Se especifican propiedades para verificarlas,Se despliega el sistema real,Se eliminan los requerimientos,Se ignoran los estados peligrosos,Se especifican propiedades para verificarlas
M P V,¿Qué representa P en la relación M + P + V?,Las propiedades del sistema,Las propiedades del sistema,Los procesos del sistema,Los puertos de comunicación,Las pruebas manuales
Gemplus,¿Qué tipo de sistema ejemplifica el proyecto Gemplus?,Un monedero electrónico con operaciones bancarias,Un lector de transporte urbano,Un monedero electrónico con operaciones bancarias,Un compilador de JavaCard,Un sistema de archivos distribuido
Verificard,¿Cuál fue el objetivo principal de Verificard?,Verificar tarjetas inteligentes,Verificar tarjetas inteligentes,Crear nuevos lenguajes de programación,Reemplazar las tarjetas por móviles,Analizar únicamente lectores físicos
Loops,¿Qué compara el Verification Loop?,Los objetivos requeridos con los objetivos alcanzados,Los interesados con la función entregada,El modelo con la implementación completa,El testing con la inspección manual,Los objetivos requeridos con los objetivos alcanzados
